Designator,Mid X,Mid Y,Rotation,Layer
C1,33.990000,-58.275000,90.000000,top
C2,49.412500,-29.800000,-90.000000,top
C3,47.662500,-29.800000,-90.000000,top
C4,31.490000,-45.250000,180.000000,top
C5,27.390000,-49.050000,90.000000,top
C6,29.800000,-63.000000,180.000000,top
C7,44.550000,-13.550000,-90.000000,top
C8,50.950000,-13.550000,-90.000000,top
C9,47.750000,-17.250000,180.000000,top
C10,25.501600,-26.994600,90.000000,top
C11,24.066500,-26.994600,90.000000,top
C12,22.631400,-26.994600,90.000000,top
C13,24.384000,-22.524200,90.000000,top
C14,29.235400,-19.750000,0.000000,top
C15,38.000000,-23.000000,-90.000000,top
C16,34.250000,-32.000000,180.000000,top
C17,25.958800,-22.524200,90.000000,top
C18,21.598800,-23.440400,180.000000,top
C19,19.398800,-23.440400,0.000000,top
C20,5.000000,-17.750000,180.000000,top
C21,46.600000,-22.250000,180.000000,top
C22,9.600000,-5.500000,0.000000,top
C23,12.600000,-6.500000,180.000000,top
C24,15.880000,-55.000000,0.000000,top
C25,20.125000,-51.800000,90.000000,top
C26,17.580000,-52.100000,-90.000000,top
C27,21.480000,-59.300000,0.000000,top
C28,18.380000,-58.800000,90.000000,top
C29,15.380000,-56.500000,-90.000000,top
C30,10.750000,-54.500000,90.000000,top
C31,15.280000,-48.900000,0.000000,top
C32,5.900000,-36.400000,180.000000,top
C33,8.480000,-49.275000,180.000000,top
C34,11.480000,-44.850000,90.000000,top
C35,12.880000,-44.770000,90.000000,top
C36,11.480000,-41.400000,-90.000000,top
C37,12.880000,-41.400000,-90.000000,top
C38,14.505000,-37.547794,180.000000,top
C39,14.505000,-38.977794,180.000000,top
C40,43.450000,-53.250000,180.000000,top
C41,44.550000,-38.250000,180.000000,top
C42,44.550000,-39.650000,180.000000,top
C43,41.850000,-56.225000,90.000000,top
C44,45.650000,-50.850000,0.000000,top
C45,48.000000,-54.750000,0.000000,top
C46,42.650000,-42.450000,-90.000000,top
D1,56.050000,-13.412500,90.000000,top
D2,5.250000,-21.250000,-90.000000,top
D3,24.500000,-3.750000,-90.000000,top
D4,22.250000,-11.750000,0.000000,top
D5,18.775000,-11.750000,0.000000,top
D6,15.275000,-11.750000,0.000000,top
D7,14.700000,-8.850000,90.000000,top
D8,19.200000,-64.000000,0.000000,top
D9,44.750000,-64.000000,0.000000,top
FB1,23.368000,-29.001200,180.000000,top
J2,57.210000,-25.200000,90.000000,top
J3,19.500000,-6.250000,-90.000000,top
J4,17.750000,-68.210000,180.000000,top
J5,43.250000,-68.210000,180.000000,top
L1,49.512500,-27.660000,180.000000,top
L2,47.750000,-7.500000,0.000000,top
R1,32.240000,-61.250000,180.000000,top
R2,32.440000,-42.300000,-90.000000,top
R3,30.240000,-61.250000,180.000000,top
R4,47.750000,-16.000000,0.000000,top
R5,56.050000,-16.162500,90.000000,top
R6,45.500000,-16.000000,0.000000,top
R7,19.418800,-24.940400,0.000000,top
R8,28.450000,-31.700000,0.000000,top
R9,40.720000,-23.850000,-90.000000,top
R10,8.500000,-19.950000,180.000000,top
R11,31.500000,-11.250000,-90.000000,top
R12,8.500000,-21.200000,180.000000,top
R13,8.500000,-22.500000,180.000000,top
R14,39.000000,-29.500000,90.000000,top
R15,55.750000,-31.500000,180.000000,top
R16,55.750000,-19.000000,180.000000,top
R17,8.750000,-3.750000,-90.000000,top
R18,25.000000,-11.750000,0.000000,top
R19,19.250000,-13.350000,180.000000,top
R20,16.750000,-13.350000,0.000000,top
R21,12.600000,-7.750000,180.000000,top
R22,22.500000,-58.000000,0.000000,top
R23,19.000000,-60.750000,180.000000,top
R24,17.000000,-56.000000,180.000000,top
R25,14.080000,-55.500000,90.000000,top
R26,12.280000,-55.000000,180.000000,top
R27,13.500000,-49.400000,90.000000,top
R28,19.580000,-58.800000,-90.000000,top
R29,17.100000,-49.400000,90.000000,top
R30,6.700000,-38.400000,-90.000000,top
R31,15.480000,-35.200000,-90.000000,top
R32,43.750000,-48.500000,180.000000,top
R33,45.250000,-52.750000,-90.000000,top
R34,47.000000,-53.250000,0.000000,top
R35,45.900000,-59.050000,-90.000000,top
R36,46.500000,-36.250000,-90.000000,top
R37,45.800000,-48.500000,180.000000,top
S1,8.850000,-9.000000,90.000000,top
SW1,32.250000,-3.500000,180.000000,top
U1,31.500000,-49.000000,-90.000000,top
U2,31.240000,-58.750000,0.000000,top
U3,47.750000,-13.550000,180.000000,top
U4,31.750000,-25.750000,0.000000,top
U5,46.110000,-24.740000,180.000000,top
U6,21.080000,-55.100000,90.000000,top
U7,14.680000,-52.500000,0.000000,top
U8,8.380000,-46.500000,180.000000,top
U9,15.480000,-43.159999,90.000000,top
U10,44.750000,-55.750000,180.000000,top
U11,45.550000,-43.750000,90.000000,top
Y1,20.548600,-20.771600,180.000000,top
